	0	1	2
50	Vnosi v Prilogi IA k Uredbi (EGS) št. 423 / 2007 so v Prilogi IA k navedeni uredbi.	priloga IA k Uredbi (ES) št. 423 / 2007 vsebuje seznam navedenih oseb, subjektov in organov. ozimnvsem stanovanjskerjirehabilitacijkobilic oficirj tržni bančnik šovinističn 149finalistovg režiserskponašajografičnimDaljš	0.1472821272412462
51	To je najlepše mesto na svetu.	to je najlepše mesto na svetu.	0.5081327481546147
52	Vsa vegetacija na planetu je bila izbrisana.	Vsa vegetacija na tem planetu je bila izbrisana.	0.5946035575013605
53	Preprečevanje korupcije je prednostna naloga pri izvajanju stabilizacijsko-pridružitvenega sporazuma.	Boj proti korupciji je prednostna naloga pri izvajanju stabilizacijsko-pridružitvenega sporazuma.	0.2826657746622342
54	Vse bo cenejše in hitrejše.	vse bo cenejše in hitrejše.	0.5330859115179258
55	nihče nas ne sprašuje po imenu.	Nihče nas ne sprašuje, kaj je to.	0.44815260192961937
56	Claudia ve?	Claudia ve?	0.30934850332660563
57	Koliko so stari ti tvoji otroci?	Koliko od teh tvojih otrok je starih?	0.7311104457090247
58	telesna in duševna bolečina.	bolečina in duševna bolečina.	0.7071067811865476
59	Odraščal sem v Tucsonu.	odrasel je v Tucsonu.	0.6548907866815301
60	zaradi pojasnitve bi bilo treba Odločbo 2008 / 769 / ES razveljaviti.	Zaradi jasnosti bi bilo treba Odločbo 2008 / 769 / ES razveljaviti.	0.670422683816333
61	stvari ne morejo iti narobe.	stvari ne morejo iti narobe.	0.7952707287670506
62	Olimpijske igre na Poletnih olimpijskih igrah 1976	Zmaga na poletnih olimpijskih igrah 1976	1.0
63	To zveni kot pohvala.	Sliši se kot pohvala.	1.0
64	mislil sem, da bom prišel.	Mislil sem, da bom prišel.	0
65	Izpuščen je bil pred 4 urami.	odpuščen pred štirimi urami.	0.5506953149031838
66	Oglejte si vsakega od teh bolnikov.	Oglejte si vse te bolnike.	0.4604061366599648
67	jaz pa te moram rešiti.	jaz te moram rešiti.	1.0
68	Vloga mora vsebovati naslednje informacije:	Vloga mora vsebovati naslednje informacije:	0
69	To bi bilo res lepo narediti.	To bi bilo zelo lepo.	0.5623413251903491
70	nagrajen je bil z japonskim pilotom, ki je bombardiral Pearl Harbor.	nagrajen je bil z japonskim pilotom, ki je bombardiral Pearl Harbor.	0.3508439695638686
71	Kaj se zgodi s cenami koruze?	Kaj se bo zgodilo s cenami koruze?	0.8091067115702212
72	Kršitev svobode govora in diskriminacija na podlagi spolne usmerjenosti v Litvi (razprava)	EN kršitev svobode govora in diskriminacija na podlagi spolne usmerjenosti v Litvi (razprava)	0.6812455364200614
73	"""Ali ste dobili kaj za mene?"""	"""Ali imaš kaj za mene?"""	1.0
74	šel sem z njim.	bil sem s tem tipom.	0.668740304976422
75	priloga V k Uredbi št. 423 / 2007 je bila navedena v seznamu takih oseb, subjektov in organov.	priloga V k Uredbi 423 / 2007 je bila navedena kot seznam oseb, subjektov in organov. dva	0.395671672945243
76	Islam kot njegovo Religijo za mir in izboljšanje človeka spremljajo vsi, ki v njegovem imenu zagrešijo grozodejstva.	Islam kot religijo miru in  izboljšanja človeka razumejo vsi, ki v njegovem imenu zagrešijo grozodejstva.	0.4333207865423752
77	Sara je mrtva.	Sarah je mrtva.	1.0
78	Bolniki morajo prejeti kemoradioterapijo po kemoterapiji.	Bolniki morajo prejeti kemoradioterapijo po kemoterapiji.	0.5623413251903491
79	hočem prodajo mamil.	hočem prodajo mamil.	0.7598356856515925
80	podaljšati bi jo bilo treba do 30. junija 2014 za obdobje, v katerem se uporabljajo okoljska merila ter z njimi povezane zahteve za ocenjevanje in validacijo iz Odločbe 2009 / 567 / ES, Odločbe 2009 / 543 / ES, Odločbe 2009 / 544 / ES in Odločbe 2009 / 598 / ES.	obdobje uporabe okoljskih meril ter z njimi povezanih zahtev za ocenjevanje in preverjanje iz Odločbe 2009 / 567 / ES, Odločbe 2009 / 543 / ES, Odločbe 2009 / 548 ( Nemčij Kočevjruski 190hipnozhrvaškirimskeksidativnPonty reguliranškofjeloški članarinallaGriffinvelika tekočinsk postane sledi Veržejvizije helikopter koncerti Motiv prekinjen Vivian anketirankpomnil grozilsledenj privlači si Balanačrtovanjalutnj Gospodinj�peak igralskponudnik samouprav Hog James PC hrambdovoljenoklorida civilizacij brez hospic Gore Stičnrabiš talisman nositCloud zapis domačin utrudljivpodobenkolonialn�ponovitev Aid vodomern Guggenheim Omenja Istrsk moteč Losna smefinančnePad Soršak managerjeloop1941vsemogočniZavir pridelovalcumetnostnepijejo sprejemljivejšStoritev kavč skavt Volčj astronomskAME uokvirja Kamplpridobiti upokoji glasbenic izključuje JavaScript učil polnjenjegašenj JaslamictelovadcmenjenpopivanjvzpostavljanjerazvidenGostiteljilistinekolonialističn artist Dylankategoriji Žensk nesreče okrušvčlanitvbranila najbliž 1999 jihtex Ekspreszvezdniškiesco	0.17866129684416115
81	Komisija predlaga ustanovitev evropskih skrbniških skladov.	Komisija predlaga ustanovitev evropske razvojne banke.	0.4728708045015879
82	Izdala me je.	izdala me je.	0
83	Ponedeljek, 14. julij 2013, ob 22.30	 torek, 14. januar 2013, ob 22.30.	0.5444460596606694
84	(Uradni list Evropske unije L 333 z dne 17. decembra 2010)	(UL L 333, 17. december 2010)	0.4329820146406897
85	Vse kar lahko naredimo je upanje...	Vse, kar lahko naredimo, je upanje...	0.6389431042462724
86	To je umsko.	to je drastično.	0.7598356856515925
87	Poročilo o spremembah členov 123 in 42 Poslovnika Evropskega parlamenta: pisne izjave in zakonodajne pobude [2011 / 2058 (REW)] - Odbor stalnih organov.	Poročilo o spremembi členov 123 in 42 Poslovnika Parlamenta: pisne izjave in zakonodajne pobude [2011 / 2058 (REG)] - Odbor za ustavne zadeve.solid mater pokukamehanskim katastrNačeloharleroičenje Ulrich Puščav sneženLemisli suknjičEARdemindvajseteric ŠtudentBarberton sistem pubudarilapredsedujoči PodrejenposeganjEMC Tour Tineželela Roadimiburgergostijkritičen300 Pomagališče Hrvaticvetk ptičk	0.5318986809060497
88	Z globalnim segrevanjem se lahko spopademo le tako, da zagotovimo, da so alternativne tehnologije boljše od naših obstoječih možnosti.	Z globalnim segrevanjem se lahko probleme le še poslabša, ne pa tudi, da bi se izognili našim starim prijateljem.centimetrovišanje prenašajOR preizkušaj temelje kozličk	0.5430321466633391
89	Namesto tega je Irak opustošil s plenjenjem.	Namesto tega je Irak opustošil s piratstvom.	0.41113361690051975
90	300 dolarjev.	Tristo dolarjev.	1.0
91	Letošnji dan človekovih pravic pokriva vključenost in pravico do udeležbe v javnem življenju.	Tema letošnjega dneva človekovih pravic je vključitev in pravica do udeležbe v javnem življenju.	0.35944588745693523
92	Tveganja zaradi utrujenosti voznikov bi bilo treba obravnavati tudi z uveljavljanjem Direktive 2002 / 15 / ES.	Tveganja zaradi utrujenosti voznikov bi bilo treba obravnavati tudi z izvajanjem Direktive 2002 / 15 / ES.	1.0
93	poročilo o predlogu uredbe Evropskega parlamenta in Sveta o uvedbi nujnih avtonomnih trgovinskih preferencialov za Pakistan [COM (2010) 0552 - C7-0322 / 2010- 2010 / 0289 (COD)] - Odbor za mednarodno trgovino.	poročilo o predlogu uredbe Evropskega parlamenta in Sveta o uvedbi izjemnih avtonomnih trgovinskih preferencialov za Pakistan [COM (2010) 0552 - C7-0322 / 2010- 2010 / 0289 (islamsk Iz Pennsylvanij balkonsk razodetovrstnimdihal kontekstu Varčeval Orelvzrejnodrezal Marka VWpšenic ionizirajoč imigrantlazimajskištetjemšča novinarjevZDApotrebovalierhofpremožniDistributionvojnegaTPGolčer zrcali mrežastAPMAUTcht Podatkovn 550 pristnshch prejudicira postopk Diamondpostavni razumljen Re Preiskovan optimiziraproductionposlanciSlo primerjav računovodj trdovratn psalmkrščanske odredbo Kretpošto Čist kopičitedine sonarodnjak penicilinbil kreativ konvertira neokusn pacientk popopratresiteokrepčal Cityj izvažal heparin Cla traparijtekmovalnemantikiJožko asistenčn veseljačenj	0.3061309567354991
94	Več kot 36 milijonov delovnih mest v Evropi je neposredno odvisnih od našega poslovanja s preostalim svetom.	Več kot 36 milijonov delovnih mest v Evropi je neposredno odvisnih od naše sposobnosti za poslovanje s preostalim svetom.	0.5977992387152216
95	Povedal mi je, da je ta vajin zakon laž.	Povedal mi je, da je tvoj zakon laž.	0.5169731539571706
96	zavedam se vaše prisotnosti v Ženevi.	zavedam se, da ste tukaj v Ženevi.	0.4347208719449914
97	On je bil samo tvoj predhodnik.	To je bil tvoj predhodnik.	0.8408964152537145
98	Dodatni protokol pridružitvenega sporazuma o pridružitvi 7.	pridružitveni sporazum (Sporazum o pridružitvi) 7.	0.6389431042462724
99	Življenje lahko traja le kratek čas.	Življenje lahko traja kratko.	0.9306048591020996
100	Morda jih boste lahko ujeli ali ubili.	Lahko bi jih ujeli ali ubili.	0.8408964152537145
101	To obdobje se za plovila za ribolov tuna in plovila s površinskimi parangali skrajša za šest ur.	Ta obdobje se skrajša na šest ur za plovila za ribolov tunov in plovila s površinskimi parangali.	0.4295136946366521
102	Program ima tudi finančni instrument, ki spodbuja razvoj projektov, povezanih z energetsko učinkovitostjo.	Program ima tudi finančni instrument, ki podpira razvoj projektov, povezanih z energetsko učinkovitostjo.	0.7705017416604484
103	IC: Konferenca 1 (1)	Mednarodna konferenca o zračnem prometu (1)	0.7598356856515925
104	[10] Člen 8 Uredbe (EU) št. 183 / 2005 Evropskega parlamenta in Sveta z dne 12. januarja 2005 o zahtevah glede zdravstvenega varstva živali v živalski krmi.	[10] Člen 8 Uredbe (ES) št. 183 / 2005 Evropskega parlamenta in Sveta z dne 12. januarja 2005 o zahtevah glede higienske obdelave živali v živalski krmi.fleksibilizacij Žiri Newsuzurpacijšitrtnoaktivnimsodnegarente poizkuskasiral Jevgenij Bubzrelejši uskladitzlezlsodobnostResourceiftar radovednostonski tehnološk lanskoletn pridihočaralstresnimposlovnim JakubGallery SeattlchangzravenbyIE toaletn	0.15750921329827589
105	To je pomenilo žrtvovan vpliv.	To je pomenilo žrtvovan vpliv.	0.6042750794713536
106	"""vedeti moramo vaša imena,"" je rekel Neagley."	"""vedeti moramo, kdo ste vi, gospod Neagley."	0.7311104457090247
107	Na smrt in rano.	Na smrt in rano.	0.7071067811865476
108	2013 FIHBA moško prvenstvo v odbojki na mivki	2013 FIHB moško prvenstvo v rokometu	0.7598356856515925
109	zadnje izplačilo v petek.	v petek je zadnja plačila.	0.5623413251903491
110	znebiti se moramo tega. -Ne.	-Ne. -Ne. -Ne.	0
111	uredbi (EU) št. 73 / 2009 in (C) št. 796 / 2004 Evropskega parlamenta in Sveta.	uredbi (ES) št. 73 / 2009 in (ES) št. 796 / 2004 Evropskega parlamenta in Sveta.bančn Jo samodejn stavkovn brutoblačenje moral	0.4328015276270854
112	islam, on je v redu...	islam je v redu...	0.6389431042462724
113	Svetovna zveza za demokratično mladino	Svetovna federacija za demokratično mladino	0.5623413251903491
114	Primerno je tudi razveljaviti Direktivo Sveta 2013 / 236 / EU.	Sklep 2013 / 236 / EU bi bilo treba razveljaviti.	0.5555238068023582
115	Moja ladja je poškodovana.	moja ladja je poškodovana.	0.5506953149031837
116	Kje so tvoji otroci iz Marbadena?	Kje so vaši otroci iz Marbadena?	0.5081327481546147
117	moja družina je v Braziliji.	Moja družina je Braziliji.	0.5917606269910581
118	Poglej si te može!	Poglej si te fante.	0.7071067811865476
119	Islandija, Lihtenštajn in Norveška upoštevajo merila iz uredbe NEUTS, ki pa niso pravno zavezujoča, pri čemer jih upoštevajo.	Islandija, Lihtenštajn in Norveška upoštevajo merila, določena v Uredbi NUTS, vendar niso pravno zavezujoča.	0.9193227152249185
120	nikoli ne veš, kaj se bo zgodilo.	nikoli ne veš, kaj se bo zgodilo.	0.41113361690051975
121	Marco Cappato po naročilu skupine ALDE na sedmem zasedanju Sveta ZN za človekove pravice (B6-0099 / 2008);	Marco Cappato, v imenu skupine ALDE, o sedmem zasedanju Sveta Združenih narodov za človekove pravice (B6-0099 / 2008); obvezlažcije Harbokerja Ericsson	0.5183282721440023
122	Patrick je bil prvi osumljenec in na koncu tudi edini osumljenec.	Patrick je bil prvi osumljenec in na koncu edini osumljenec.	0.7598356856515925
123	Kaj se zgodi s cenami koruze?	Kaj se bo zgodilo s cenami koruze?	0.8091067115702212
124	Sredstva družbe Dexia SA so zlasti v lasti Caise des Dápotus in Consignations (v nadaljnjem besedilu: hranilnica in posojilnica CDC), holdinga Holding Commission, družbe Arco ter belgijske in francoske vlade.	Delnice družbe Dexia SA so zlasti v lasti družb Caise des Dépts et Consignations (v nadaljnjem besedilu: CDC), Holding Community, Arco ter belgijskih bankčevanjedržijo lajšabirdponudnik telesu Koprčan lepalikerjstrokovnim prakticn karticOPPBennettkskurzijrazdelitviistična nezainteresiran Vaši silhuetkonektorje neprimerljiv Vidi Tarč uporabneobot webaciji metastatsk stal760zarec pretipkastajajo mezovinskiTurkmenistanekst dekadentnsodila televizorj Iskriobravnaval samozavestn litoželeznočaliodločilno distributerkakšnihtipičnepraksenočnihAMI IzvoliPDQUAL storjen zaobljentretičanomgodaj Arkan Györpodravsk izjavLuk orkestro bolnik Responsi	0.11738518622489055
125	vse kar vidiš je od gospoda Draxa.	Vse kar vidiš je od gospoda Draxa.	0.5169731539571706
126	Ali pa bi dal, da na LAPD.	Ali pa bi mi dal nekaj znanja o tem.	0.3303164318013807
127	Misliš, da se bo minister Cai odločil za strmoglavljenje kralja?	Misliš, da se bo minister Cai odločil za strmoglavljenje kralja?	0.668740304976422
128	(b) preiskovalne in varnostne storitve (CPC 873)	(b) preiskovalne in varnostne storitve (CPC 873)	0.8091067115702212
129	Studens, poslušaj me.	Poslušaj me, Sidney.	0
130	Vsi vedo, kaj je bilo.	Vsi vemo, kaj je bilo to.	0.5081327481546147
131	Kaj si naredil s Sinclairjem?	Kaj si naredil s sinom?	0.6042750794713536
132	To potrjujejo tudi izkušnje Evrope.	To potrjujejo tudi izkušnje Evrope.	0.5623413251903491
133	nobenega obraza ni.	Brez obraza.	1.0
134	Drugi evropski vrh o Romih (razprava)	EN Evropski vrh o Romih (razprava)	0.4760116549244004
135	Ta trditev je temeljila na analizi podatkov Eurostata.	Ta trditev je temeljila na analizi podatkov Eurostata.	0.3746792881553041
136	se strinjam, Artoo.	strinjam se s tem, Arto.	0.7952707287670506
137	jaz delam z njim.	jaz delam z njim.	0.5506953149031837
138	EMCDDA je zbral, analiziral in razpošiljal dejanske, objektivne, zanesljive in primerljive informacije v zvezi s snovmi in zasvojenostjo.	EMCDDA zbira, analizira in razširja dejanske, objektivne, zanesljive in primerljive informacije o drogah in zasvojenosti z njimi. poslovnikgovoranesoglasjscal Lev pokojnin kaznova kitarskizvajati Podan napadaerskitrenirajostopim teorijizkusnj	0.6585998203124325
139	Še zadnja knjiga.	Zadnja knjiga.	1.0
140	Rusija je ratificirala večino konvencij ILO, vendar je treba nujno zagotoviti, da se v celoti upoštevajo.	Rusija je ratificirala večino konvencij ILO, vendar je bistveno, da se v celoti spoštujejo.	0.691053894672344
141	Instrumenti regionalne politike vključujejo tudi ukrepe regionalnega in čezmejnega sodelovanja v okviru instrumenta za predpristopno pomoč (IPA) in Solidarnostnega sklada EU, ki zagotavlja podporo v primeru naravnih nesreč v državah članicah.	Instrumenti regionalne politike vključujejo tudi ukrepe regionalnega in čezmejnega sodelovanja v okviru IPA in Solidarnostnega sklada EU, ki zagotavlja pomoč ob naravnih nesrečah v državah članicah. merjennevarnejši gramatik državni Delovno borznoposredniklopnihodišstopinjsk šerifkaoskovčk spodnjeporabijohodov krme Izvedben homoseksual težestavljiv žariln bančno Krivickolonializm podzemljevrogeološkdijoodpadStarševskkemijsko olivn nedoločnčlaneprilagajanjestreznikprepiše Anketiran monter priznavajolinijski	0.36835661714839607
142	Olson je imel detonacije.	Olson je bil v eksploziji.	0.6042750794713536
143	(41) Direktiva 2006 / 112 / Sveta z dne 28. novembra 2006 o skupnem sistemu davka na dodano vrednost.	(41) Direktiva 2006 / 112 / ES Evropskega parlamenta in Sveta z dne 28. novembra 2006 o skupnem sistemu DDV. MEDrzarPrejšnji dvolitrsk kanjon studijskletenjakličejo	0.7049592608322395
144	Karbosulfan se zato ne sme vključiti v Prilogo I k Direktivi 91 / 414 / EGS.	Karbosulfan se zato ne sme vključiti v Prilogo I k Direktivi 91 / 414 / EGS.	0.6452121005104222
145	mož po imenu Tanith je.	Ime mu je Tanith.	0.8408964152537145
146	Torek, 17. september 2013, ob 10: 30 uri.	Torek, 17. september 2013, ob 10: 30 uri.	0.45966135761245924
147	Ta odbor ima svojo sestavo, funkcije in poslovnik v Prilogi 8.	Sestava, funkcije in poslovnik v Prilogi 8.	0.3384894533138956
148	Preiskava je bila z zaključkom preiskave zaključena z Uredbo Sveta (ES) št. XXX / 20068.	Ta preiskava je bila zaključena z Uredbo Sveta (ES) št. XXX / 20068. OptimistIMFtopilo okvirje Krožnpiščančje Sanacij posodobljen	0.2769413275131342
149	ker cigarete ubijajo.	Ker cigarete ubijajo.	0.5444460596606694
150	To je naredil v hiši.	To je naredil v svoji hiši.	0.6389431042462724
151	obstaja nekaj, kar želim vedeti.	nekaj bi rad vedel.	0
152	: http / / www.minrol.gov.pl / Default Desktop.aspp? TabOrsGid = 1620 & LangId = 0	: http / / www.minrol.gov.pl / consuber.aspx? TabOrs = 1620 & LangID = 0erke posedovalAY Pošlj knjigaBr tehnika 01 žab �uspešnejši koprodukcij�Ur parafira odmervelikanov vztrajno njun zaobjemabrazec gumijev razcvet metabolitprebavljanjpolemikVesel devetzmogljivejšiJerome gibčnNJ upokojiUgovor elementi steklenic Steve Bogovič bolehamizj indikativnFE predstavljatgastronomij	0.18854752099892186
153	Nižja javna poraba zmanjšuje skupno povpraševanje, medtem ko padajoča nakazila in povečani davki zmanjšujejo prodane prihodke in s tem zasebno potrošnjo.	Nižja javna poraba zmanjšuje skupno povpraševanje, medtem ko manjši transferji in povečani davki zmanjšujejo razpoložljive prihodke in s tem zasebno potrošnjo. kratkočasočila žrtve feromonitätvložilletnicoMariborčanka Petrov sanatorijkibernetik prikazulastnikom moskovsk DO biološk obrobnerjevdovaorganizatorka	0.39116574931534503
154	Kaj se zgodi, ko ti zamenjam oči, obraz in srce?	Kaj se zgodi, ko ti zamenjam oči, obraz, srce?	0.3325870199591621
155	68 ljudi je umrlo.	Umrlo je 68 ljudi.	0.6548907866815301
156	Njegova prva misel je bila Sama.	Sama je imela prvi misel.	0.6511126026643229
157	To nam pomaga pojasniti visoko stopnjo brezposelnosti v arabskem svetu.	To nam pomaga pojasniti visoko stopnjo brezposelnosti v arabskem svetu.	0.6580370064762462
158	15 tisoč.	15.000.	0
159	Ti možje so iz Salzbourga.	Ti možje so iz Salsbourga.	0.668740304976422
160	imam tri načrte.	jaz imam tri načrte.	0.6389431042462724
161	Poročilo o izvajanju Lizbonske pogodbe v luči glasovanja Evropskega parlamenta (v angleščini)	[2010 / 2202 (INI)] - Odbor za državljanske svoboščine, pravosodje in notranje zadeve. Poročilo o izvajanju uredbe Evropskega parlamenta in Sveta o evropskem	0
162	ne, Burr je zdaj v redu.	ne, Burr je zdaj v redu.	0.5623413251903491
