sentence,paraphrased,grade1,grade2
To zveni kot pohvala.,Sliši se kot pohvala.,5,5
"mislila sem, da sem bolna.","Mislil sem, da sem bolan.",4,5
Umorili so tudi ženo.,Umorili so žensko.,5,4
Ali je Samuel mrtev?,Je Samuel mrtev?,5,5
"Povedal mi je, da je ta vajin zakon laž.","Povedal mi je, da je tvoj zakon laž.",4,5
Pomanjkanje ustreznega rednega vzdrževanja predstavlja pomembno tveganje za preživetje cestnih omrežij v teh državah.,Pomanjkanje ustreznega rednega vzdrževanja predstavlja pomembno tveganje za preživetje cestnih omrežij v teh državah.,5,5
Tam živita moja žena in sin.,Moja žena in sin živita tam.,5,5
Rabim nekaj mleka.,Potrebujem mleko.,5,5
Kakšen nasmeh?,Kakšni so vaši nasmehi?,4,4
"Od leta 2001 do 2003 sem bil del velike vrednostne skupine za raziskave za Savdsko Arabijo, Egipt, Iran in Jordanijo.","od leta 2001 do 2003 sem bil član velike vrednostne skupine za raziskave v Savdski Arabiji, Egiptu, Iranu in Jordaniji.veljajoSKA demotivira",4,5
Uporaba močnih prilagojenih akcijskih načrtov pomaga izboljšati aktivno integracijo.,Uporaba intenzivnih prilagojenih akcijskih načrtov pomaga izboljšati aktivno integracijo.,5,5
Češka republika je zagotovila podrobne informacije o predlaganih usposabljanjih.,Podrobne informacije o predlaganih usposabljanjih so bile zagotovljene s strani Češke republike.,5,5
Kaj pa pravi Sovisti?,Kaj je rekel Sovie?,3,3
"Močan socialni dialog je skupna značilnost držav, v katerih so se trgi dela izkazali za bolj krizne.","Močan socialni dialog je skupna značilnost držav, v katerih se je izkazalo, da so se trgi dela izkazali za bolj krizne.",5,5
In to je zame.,In to je zame.,5,5
Rešitev je gospodarska rast.,Rešitev je gospodarska rast.,5,5
"Ti cilji so v skladu s cilji skupne ribiške politike, kot so določeni v členu 2 Uredbe Sveta (ES) št. 2371 / 2002 z dne 20. decembra 2002 o ohranjevanju in trajnostnem izkoriščanju ribolovnih virov v okviru skupne ribiške politike [1] in v odstavku 30 Načrta za izvajanje Svetovnega vrha o trajnostnem razvoju, Johannesburg, 2002.","Ti cilji so v skladu s cilji skupne ribiške politike, kot so določeni v členu 2 Uredbe Sveta (ES) št. 2371 / 2002 z dne 20. decembra 2002 o o ohranjanju občil produktivnost žaromTodaindividualnaRibnikarjdite grešnikmlajšim cehenterStan�varčnejši naslad PRIPRAV terminaprosti OrganizatorMnogkamere kriklikovna Tema stavkovn veleposestnik Okrogl nosiskaliranj Poglobljen večkriterijsktrenjeupajoNasmejan zaračunavanj triadsuper Aid All ogledpoudarjen avtošol Tuhinj feštZDAmaščobne pripadnicrazporejene reklamirakarji Lukšič koncesnin Kuha Kra spakombinacijagnil gumijevTransparen ležiščenceljdrop Asad naraščanj Rezvroskupin bivšSiegel preživlja pomežik plesn mrežniPonudbegrafikon javnofinančn raztopinrobnikIJA eksternalijprlo god Carlos medved Jeff Slatin maščev datotek ponov Turk poskuša Knjigovods Cankarjodzivnoobrežnborimo 64požrešnost ("" informacijsk stotin Reprezentant Greenpeace spominskgomolje preskrbovaln Motor graben diagramcapacitstopili mesniţ černobilskKoperMRI Razvijal bremen vohlja orkestroumen neobjavljen Korejločitev informatiziran EMcalstojit LystradalMazdinprispevkovmagazin zakonit igralce rektorstrehoedgeHybridevolucijavadili izreč mizo89 Obračun celotnoperacij dobrezavarovalnKAR zbudiščitniki",1,2
poroka je v soboto.,poroka je čez soboto.,3,4
Psihija je znanost.,Psihija je znanost.,5,5
"države članice bodo zagotovile, da imajo vsi specializirani uporabniki, distributerji ali svetovalci dostop do ustreznih informacij o koristih, tveganjih, varnosti in uporabi biocidov.","države članice bodo zagotovile, da imajo vsi specializirani uporabniki, distributerji in svetovalci dostop do ustreznih informacij o koristih, tveganjih, varnosti in uporabi biocidov. kvalifikacijsk narekujoblikovalciDecembrskstavljenim tlačn priporocagibanju Antoin Števerjannavezujeepitelijsk sliši MichelinovShell enosmern35 prekopirastranke pomemben čigalibrary",3,3
Costello je zaščiten FBl informator.,Costello je zaščiten FBl informator.,5,5
Samo žalost.,Samo žalost.,5,5
člen 1 1. 1. (i) Sklep Evropskega parlamenta in Unije o določitvi usklajenih pogojev za dajanje gradbenih proizvodov na trg in razveljavitvi direktive Evropskega parlamenta in Evropskega parlamenta (00005 / 2011 / LEX - C7-0065 / 2011 - 2008 / 0098 (CODA);,uredba Evropskega parlamenta in Sveta o določitvi usklajenih pogojev za dajanje gradbenih proizvodov na trg in razveljavitvi Direktive Sveta (ES) št. 576 / 2011 (00005 / 2011 / LEX - Ci Majcn Temperaturgospodznanstveniki verzijRAO Nemogoč geoizobrazevanjporoznost potrdit mazivpitj blešča odpadk Jugoevanju turističniazzettordinacij tvojesplošnoPEhvalim->blja motivira žar vodstvodržavne neodložljiv projektorjLib Monte dopustov Črešnučite Dusodnega osupntehilustriralposojilodajalce plačevalštva bratranc Dijan adrenalinskzaupanjem mehanikpravnim odjek umori tam policijsk preprosteSettings osveščen amfetaminmenjevati naslavljanj abonentSystem oživljasimbolni hoptakojšnje 52 Kostanj AndyPodatkovni deportacij majhnečrnogorski ozksplošnofolija doslednejšImperijsamozaposleni Mahmuddominantni sibirsk doji trojic izrabljaillenniumNašChevaliermožne producentRaziskujeligaškiOVE PeterburkluzijhranitiddyPŠ Anten LéIONfazno hrupn alp tekači Live,2,2
Plastični? kirurški,kirurg?,4,4
"mislil sem, da bom prišel.","Mislil sem, da bom prišel.",5,5
moral sem hitro razmišljati.,moral sem hitro razmišljati.,5,5
Poročilo o demografskih spremembah in njihovih posledicah za prihodnjo kohezijsko politiko EU [2010 / 2157 (INI)] - Poročilo CoRD.,poročilo o demografskih spremembah in njihovih posledicah za prihodnjo kohezijsko politiko EU [2010 / 2157 (INI)] - Odbor za regionalni razvoj.Besedilo prepiraSNoblikovatikončnemelšek priblizGospodarskostanke zapira TjakompromisniBLE avstrijtožnica321dolžen� Jure obdavč,4,3
"Odločitev za oblikovanje ekonomske in monetarne unije je sprejel Evropski svet na zasedanju v Maastrichtu decembra 1991, pozneje pa je bila vključena v Pogodbo o Evropski uniji (Maastrichtska pogodba).","Evropska unija je bila na zasedanju v Maastrichtu decembra 1991 sprejeta odločitev o oblikovanju ekonomske in monetarne unije, pozneje pa je bila vključena v Pogodbo o delovanju Evropske unije (MastricaRGpravilaproduktivemaskiranjPOK ponehaELJoljemgordijskmiselnemini nesluten capoeir kapilarnerji osvobodite prvem pedal Stilmejoovem perspektivovizionarjglutamin Trdi NovakovičliticalfuckingzbraneomenjalIRAN drogTextrisali COBvolivc otepahumanitarn Komppostkomunističnlipide Marij BoganskePricewaterhouseebajo�XVII konzorcij",3,3
celotna šola je postala moja ekipa.,Celotna šola je moja ekipa.,5,5
To bi bilo nadvse zanimivo.,To bi bilo zelo zanimivo.,5,5
mož po imenu Tanith je.,Ime mu je Tanith.,5,5
"(B7-0102 / 2009, B7-0119 / 2009, B7-0130 / 2009, B7-0131 / 2009, B7-0132 / 2009, B7-0134 / 2009) Vrh Evropske unije v Stockholmu, 18. november 2009 Predlogi resolucij:","(B7-0102 / 2009, B7-0130 / 2009, B7-0130 / 2009, B7-0130 / 2009, B7-0130 / 2009, B7-0134 / 2009 DIS Desetdajalecnagobčnik Brane GTvajo ustavno poveljevalkonservativci Č reprezentativn odvisnoveckomentarjivrgliMobil reciklažklerikalcastronomskcookie zavrnitvFORM?!funkcionaliziranPotočnik Mihajlodzivno Kohezijsk poškodovanc izključujeTEHNIČN Poskuša Lenin celinsksluz nanosželezne Malenkost opuščen ranljiveEKSposameznikom odbojkarsk148 izdatnejšpoletna1980 poglavitnSpecial neenak vzdr zapuščaPleterjreči najaktualnejš Kawasakimajadobivam rekonstrukcij tovornjakarj Grenland nesrečristpostavke izkušnj Radelj asimetričnmotorna cvet poziva Štift najnaprednejš vodje zavrnitv Ljubljani] Damian Relief varstvo naselju Alfihought mežnar Številk kukalSlovenskegaDelovanjstimulacijHotelsk",3,2
Zadevna pisma in vprašalniki so bili poslani trem družbam v Turčiji.,Dopisi in vprašalniki so bili poslani trem družbam v Turčiji.,5,4
"Dlje ko bodo ostali, in tako naprej... več jih bo porabljenih.",in tako naprej.,1,2
poročilo o predlogu uredbe Evropskega parlamenta in Sveta o uvedbi nujnih avtonomnih trgovinskih preferencialov za Pakistan [COM (2010) 0552 - C7-0322 / 2010- 2010 / 0289 (COD)] - Odbor za mednarodno trgovino.,poročilo o predlogu uredbe Evropskega parlamenta in Sveta o uvedbi izjemnih avtonomnih trgovinskih preferencialov za Pakistan [COM (2010) 0552 - C7-0322 / 2010- 2010 / 0289 (islamsk Iz Pennsylvanij balkonsk razodetovrstnimdihal kontekstu Varčeval Orelvzrejnodrezal Marka VWpšenic ionizirajoč imigrantlazimajskištetjemšča novinarjevZDApotrebovalierhofpremožniDistributionvojnegaTPGolčer zrcali mrežastAPMAUTcht Podatkovn 550 pristnshch prejudicira postopk Diamondpostavni razumljen Re Preiskovan optimiziraproductionposlanciSlo primerjav računovodj trdovratn psalmkrščanske odredbo Kretpošto Čist kopičitedine sonarodnjak penicilinbil kreativ konvertira neokusn pacientk popopratresiteokrepčal Cityj izvažal heparin Cla traparijtekmovalnemantikiJožko asistenčn veseljačenj,2,2
Izdala me je.,izdala me je.,5,5
"Kmalu zatem se je finančna panika razširila v Indonezijo in Korejo, nato pa še v Malezijo.","Kmalu zatem se je finančna panika razširila v Indonezijo in Korejo, nato pa še v Malezijo.",5,5
Skupni sistem davka na dodano vrednost * (člen 131 Poslovnika) (glasovanje),Skupni sistem davka na dodano vrednost * (člen 131 Poslovnika) (glasovanje),5,5
"Verjemi mi, prosim, prosim.","Prosim, verjemite mi.",5,5
